x,y_name,y,action,direction,meters,degshours,object1,nearest,relation1,object2,relation2,object3,subset
поворачивай по левую руку на 205°,degree,3,5,4,0,14,0,0,0,0,0,0,train
"следуй к оврагу, располагающемуся за сосной",relation1,7,6,0,0,0,5,0,2,2,0,0,train
отыщи разрыв правее берёзы,relation1,7,6,0,0,0,8,0,5,2,0,0,train
следуй к близкой впадине,nearest,6,6,0,0,0,5,1,0,0,0,0,train
"следуй к лампе, которая находится за деревцем",relation1,7,6,0,0,0,13,0,2,2,0,0,train
беги к близкому коттеджу,nearest,6,6,0,0,0,1,1,0,0,0,0,train
поворачивай на северный край на 273 градуса,degree,3,5,5,0,18,0,0,0,0,0,0,train
"сократи дистанцию до мужчины, который спереди от барьера",relation1,7,6,0,0,0,6,0,3,12,0,0,train
"сократи расстояние между собой и разломом позади дамы, находящейся перед домиком",relation2,8,6,0,0,0,8,0,2,6,3,1,train
начинай поворачивать на запад 117°,degree,3,5,8,0,8,0,0,0,0,0,0,train
"сократи расстояние между собой и светильником слева от дома, располагающегося спереди от чащи",relation2,8,6,0,0,0,13,0,4,1,3,4,train
сократи расстояние между собой и близким упавшим деревом,nearest,6,6,0,0,0,3,1,0,0,0,0,train
поворачивай на западный край на 7:00,hour,4,5,8,0,14,0,0,0,0,0,0,test
"отыщи тачку, которая левее света, который располагается неподалеку от трещины",relation2,8,6,0,0,0,14,0,4,13,1,8,test
сократи дистанцию до возвышенности,object,5,6,0,0,0,7,0,0,0,0,0,test
сдай вспять 24 метра,meter,2,4,2,4,0,0,0,0,0,0,0,test
"тебе нужно подъехать к трещине, которая располагается перед оврагом",relation1,7,6,0,0,0,8,0,3,5,0,0,train
"сократи расстояние между собой и сваленным деревом, которое правее упавшего человека",relation1,7,6,0,0,0,3,0,5,9,0,0,train
"отыщи камушек, располагающийся спереди от спиленного дерева",relation1,7,6,0,0,0,10,0,3,3,0,0,train
"сократи расстояние между собой и пригорком левее столба, который за разломом",relation2,8,6,0,0,0,7,0,4,13,2,8,test
повернись на северный край на 131 градус,degree,3,5,5,0,9,0,0,0,0,0,0,train
"шагай к трещине, располагающейся справа от леса",relation1,7,6,0,0,0,8,0,5,4,0,0,train
"найди автомобиль, который располагается за человеком",relation1,7,6,0,0,0,14,0,2,6,0,0,train
сократи расстояние между собой и лесом сзади от упавшего дерева за валуном,relation2,8,6,0,0,0,4,0,2,3,2,11,test
"сократи расстояние между собой и ограждением, которое находится перед избой левее рытвины",relation2,8,6,0,0,0,12,0,3,1,4,5,train
езжай по правую руку на 105м,meter,2,4,3,8,0,0,0,0,0,0,0,train
"сократи дистанцию до берёзы за свалившимся человеком, который находится спереди от возвышенности",relation2,8,6,0,0,0,2,0,2,9,3,7,test
начинай поворачивать на южный край 12:00,hour,4,5,6,0,24,0,0,0,0,0,0,train
двигайся в сторону юга на 105м,meter,2,4,6,8,0,0,0,0,0,0,0,train
сдай в сторону запада на 3м,meter,2,4,8,1,0,0,0,0,0,0,0,train
"сократи дистанцию до горы, которая спереди от сосны",relation1,7,6,0,0,0,7,0,3,2,0,0,test
"сократи дистанцию до останца, который рядом с дамой, находящейся спереди от лежащего человека",relation2,8,6,0,0,0,11,0,1,6,3,9,train
езжай к ближайшему останцу,nearest,6,6,0,0,0,11,1,0,0,0,0,train
"тебе нужно подъехать к лесу, который располагается неподалеку от света, который находится рядом с сосной",relation2,8,6,0,0,0,4,0,1,13,1,2,test
по левую руку 91 градус,degree,3,5,4,0,6,0,0,0,0,0,0,train
"найди сваленное дерево, которое около преграды",relation1,7,6,0,0,0,3,0,1,12,0,0,train
"сократи расстояние между собой и деревцем, которое располагается правее бугра",relation1,7,6,0,0,0,2,0,5,7,0,0,train
начинай поворачивать в левую сторону 232 °,degree,3,5,4,0,16,0,0,0,0,0,0,train
найди женщину,object,5,6,0,0,0,6,0,0,0,0,0,train
соверши поворот по правую руку один с половиной час,hour,4,5,3,0,3,0,0,0,0,0,0,test
заворачивай вправо 138 градусов,degree,3,5,3,0,9,0,0,0,0,0,0,train
иди взад 108 м,meter,2,4,2,8,0,0,0,0,0,0,0,train
"сократи расстояние между собой и трещиной, которая находится рядом с светом, находящимся левее рощи",relation2,8,6,0,0,0,8,0,1,13,4,4,train
"сократи дистанцию до товарища, который перед тачкой левее разлома",relation2,8,6,0,0,0,6,0,3,14,4,8,train
"сократи расстояние между собой и спиленным деревом, находящимся неподалеку от женщины",relation1,7,6,0,0,0,3,0,1,6,0,0,test
сократи дистанцию до близкого пьяного человека,nearest,6,6,0,0,0,9,1,0,0,0,0,train
повернись на восток полтора часа,hour,4,5,7,0,3,0,0,0,0,0,0,test
топай к ближнему авто,nearest,6,6,0,0,0,14,1,0,0,0,0,train
поезжай вспять на 71M,meter,2,4,2,7,0,0,0,0,0,0,0,train
сделай поворот в западную сторону 234°,degree,3,5,8,0,16,0,0,0,0,0,0,train
отправляйся к ближайшей ольхе,nearest,6,6,0,0,0,2,1,0,0,0,0,train
беги к тачке,object,5,6,0,0,0,14,0,0,0,0,0,train
"сократи дистанцию до разлома справа от останца, который располагается сзади от камушка",relation2,8,6,0,0,0,8,0,5,11,2,10,train
"топай к ольхе, располагающейся справа от машины",relation1,7,6,0,0,0,2,0,5,14,0,0,test
найди упавшее дерево сзади от света,relation1,7,6,0,0,0,3,0,2,13,0,0,test
найди сломанное дерево неподалеку от рощи,relation1,7,6,0,0,0,3,0,1,4,0,0,train
сократи дистанцию до близлежащего товарища,nearest,6,6,0,0,0,6,1,0,0,0,0,train
езжай к близкой сосне,nearest,6,6,0,0,0,2,1,0,0,0,0,train
"отправляйся к разлому справа от булыги, которая располагается левее сломанного дерева",relation2,8,6,0,0,0,8,0,5,10,4,3,test
отыщи близкую горку,nearest,6,6,0,0,0,7,1,0,0,0,0,train
двигайся к ближнему спиленному дереву,nearest,6,6,0,0,0,3,1,0,0,0,0,train
"сократи расстояние между собой и холмом, который перед избой, находящейся перед ольхой",relation2,8,6,0,0,0,7,0,3,1,3,2,test
сдай назад 54m,meter,2,4,2,6,0,0,0,0,0,0,0,train
следуй на север,direction,1,2,5,0,0,0,0,0,0,0,0,train
"сократи расстояние между собой и особняком, который располагается правее растения, которое спереди от машины",relation2,8,6,0,0,0,1,0,5,2,3,14,train
беги к ближайшему дубу,nearest,6,6,0,0,0,2,1,0,0,0,0,train
"сократи расстояние между собой и женщиной, которая за пьяным человеком, располагающимся за светом",relation2,8,6,0,0,0,6,0,2,9,2,13,train
сократи расстояние между собой и булыжником правее ямы рядом с лампой,relation2,8,6,0,0,0,10,0,5,5,1,13,train
поворачивай в правую сторону 8 с половиной часов,hour,4,5,3,0,17,0,0,0,0,0,0,train
"сократи дистанцию до леса, который за домиком рядом с камушком",relation2,8,6,0,0,0,4,0,2,1,1,10,test
"сократи дистанцию до камня правее упавшего человека, находящегося за лампой",relation2,8,6,0,0,0,10,0,5,9,2,13,test
направляйся прямо по курсу,direction,1,2,1,0,0,0,0,0,0,0,0,train
"сократи расстояние между собой и свалившимся человеком, который перед булыжником",relation1,7,6,0,0,0,9,0,3,10,0,0,test
"найди пригорок, находящийся слева от леса",relation1,7,6,0,0,0,7,0,4,4,0,0,train
заворачивай направо 117 градусов,degree,3,5,3,0,8,0,0,0,0,0,0,test
двигайся к близлежащему товарищу,nearest,6,6,0,0,0,6,1,0,0,0,0,test
"отыщи растение, располагающееся спереди от преграды",relation1,7,6,0,0,0,2,0,3,12,0,0,train
следуй прямо по курсу на 54 метра,meter,2,4,1,6,0,0,0,0,0,0,0,train
"тебе нужно подъехать к лесополосе, которая справа от загородки",relation1,7,6,0,0,0,4,0,5,12,0,0,test
следуй к пропасти,object,5,6,0,0,0,5,0,0,0,0,0,train
"отыщи дубраву, которая перед холмом",relation1,7,6,0,0,0,4,0,3,7,0,0,train
повернись направо на 147 °,degree,3,5,3,0,10,0,0,0,0,0,0,train
"сократи расстояние между собой и камушком, который за разломом, который за ольхой",relation2,8,6,0,0,0,10,0,2,8,2,2,train
"отыщи овраг, располагающийся перед пьяным человеком, находящимся правее камня",relation2,8,6,0,0,0,5,0,3,9,5,10,train
"сократи расстояние между собой и расщелиной, находящейся сзади от лежащего человека",relation1,7,6,0,0,0,8,0,2,9,0,0,train
сдай в правую сторону 72 метра,meter,2,4,3,7,0,0,0,0,0,0,0,train
сделай поворот налево,direction,1,3,4,0,0,0,0,0,0,0,0,test
"сократи расстояние между собой и постройкой, которая спереди от растения, располагающегося сзади от упавшего дерева",relation2,8,6,0,0,0,1,0,3,2,2,3,train
сделай поворот на северный край на 68 градусов,degree,3,5,5,0,5,0,0,0,0,0,0,train
"сократи дистанцию до спиленного дерева, которое располагается позади избы",relation1,7,6,0,0,0,3,0,2,1,0,0,train
отправляйся  90м,meter,2,4,1,7,0,0,0,0,0,0,0,train
"отыщи расщелину левее препятствия, которое спереди от упавшего дерева",relation2,8,6,0,0,0,8,0,4,12,3,3,train
"езжай к дому правее растения, располагающегося справа от расщелины",relation2,8,6,0,0,0,1,0,5,2,5,8,train
поворачивай в восточную сторону на 9:00,hour,4,5,7,0,18,0,0,0,0,0,0,train
сдай в северную сторону 107м,meter,2,4,5,8,0,0,0,0,0,0,0,test
"сократи расстояние между собой и пропастью, располагающейся правее дамы",relation1,7,6,0,0,0,5,0,5,6,0,0,test
"сократи дистанцию до препятствия, которое слева от столба рядом с останцем",relation2,8,6,0,0,0,12,0,4,13,1,11,test
двигайся к ближнему особняку,nearest,6,6,0,0,0,1,1,0,0,0,0,train
следуй в сторону юга 36M,meter,2,4,6,5,0,0,0,0,0,0,0,train
"отыщи булыгу, которая располагается справа от преграды",relation1,7,6,0,0,0,10,0,5,12,0,0,test
"сократи расстояние между собой и мужчиной, который рядом с ограждением, которое находится слева от леса",relation2,8,6,0,0,0,6,0,1,12,4,4,train
соверши поворот вправо на 122°,degree,3,5,3,0,8,0,0,0,0,0,0,train
поворачивай в сторону востока на 12:00 0 минут,hour,4,5,7,0,24,0,0,0,0,0,0,train
начинай поворачивать направо на один час 0 минут,hour,4,5,3,0,2,0,0,0,0,0,0,test
"сократи дистанцию до деревца, которое правее железного коня",relation1,7,6,0,0,0,2,0,5,14,0,0,test
"сократи расстояние между собой и кучей, которая находится сзади от останца, который слева от разлома",relation2,8,6,0,0,0,7,0,2,11,4,8,train
сократи расстояние между собой и автомобилем рядом с ямой,relation1,7,6,0,0,0,14,0,1,5,0,0,train
направляйся к близлежащей яме,nearest,6,6,0,0,0,5,1,0,0,0,0,train
"сократи расстояние между собой и дубравой, находящейся рядом с фонарём",relation1,7,6,0,0,0,4,0,1,13,0,0,test
сократи расстояние между собой и ближайшим холмом,nearest,6,6,0,0,0,7,1,0,0,0,0,train
"найди ограждение, находящееся за автомобилем",relation1,7,6,0,0,0,12,0,2,14,0,0,train
шагай к ближайшему барьеру,nearest,6,6,0,0,0,12,1,0,0,0,0,train
поворачивай на западный край час,hour,4,5,8,0,2,0,0,0,0,0,0,train
беги  43М,meter,2,4,3,6,0,0,0,0,0,0,0,train
"начинай поворачивать на восточный край 8,5 часов",hour,4,5,7,0,17,0,0,0,0,0,0,test
"сократи расстояние между собой и пьяным человеком, который располагается рядом с дамой",relation1,7,6,0,0,0,9,0,1,6,0,0,train
соверши поворот в сторону севера на 211°,degree,3,5,5,0,14,0,0,0,0,0,0,train
езжай к ближайшему пьяному человеку,nearest,6,6,0,0,0,9,1,0,0,0,0,test
следуй к ближней горе,nearest,6,6,0,0,0,7,1,0,0,0,0,train
"сократи дистанцию до автомобиля, который слева от препятствия",relation1,7,6,0,0,0,14,0,4,12,0,0,test
начинай движение  на 43M,meter,2,4,1,6,0,0,0,0,0,0,0,train
"сократи дистанцию до сваленного дерева, которое располагается слева от камня",relation1,7,6,0,0,0,3,0,4,10,0,0,train
отыщи ближайший разлом,nearest,6,6,0,0,0,8,1,0,0,0,0,train
сократи расстояние между собой и близким разрывом,nearest,6,6,0,0,0,8,1,0,0,0,0,train
поворачивай  35°,degree,3,5,3,0,3,0,0,0,0,0,0,train
отправляйся  32 метра,meter,2,4,1,5,0,0,0,0,0,0,0,test
"направляйся к упавшему человеку, который располагается позади впадины, которая около расщелины",relation2,8,6,0,0,0,9,0,2,5,1,8,train
"сократи расстояние между собой и упавшим деревом, которое левее леса",relation1,7,6,0,0,0,3,0,4,4,0,0,train
"сократи дистанцию до лесополосы, располагающейся правее разлома, который находится слева от пьяного человека",relation2,8,6,0,0,0,4,0,5,8,4,9,train
"сократи дистанцию до избы, располагающейся правее ямы, которая правее булыги",relation2,8,6,0,0,0,1,0,5,5,5,10,train
поворачивай на восточный край на 88 градусов,degree,3,5,7,0,6,0,0,0,0,0,0,train
"сократи дистанцию до дома, который располагается слева от камушка, который справа от леса",relation2,8,6,0,0,0,1,0,4,10,5,4,test
"сократи дистанцию до разрыва, располагающегося за преградой",relation1,7,6,0,0,0,8,0,2,12,0,0,train
направляйся на юг на 71 метр,meter,2,4,6,7,0,0,0,0,0,0,0,test
поезжай к близкому дереву,nearest,6,6,0,0,0,2,1,0,0,0,0,test
"сократи дистанцию до камушка левее мужчины, находящегося позади препятствия",relation2,8,6,0,0,0,10,0,4,6,2,12,test
"найди машину, которая находится справа от фонаря",relation1,7,6,0,0,0,14,0,5,13,0,0,test
шагай к ближайшему сваленному дереву,nearest,6,6,0,0,0,3,1,0,0,0,0,test
"найди ольху, находящуюся справа от пьяного человека",relation1,7,6,0,0,0,2,0,5,9,0,0,train
"беги к лесу, располагающемуся справа от разрыва, который спереди от пьяного человека",relation2,8,6,0,0,0,4,0,5,8,3,9,train
езжай к близлежащему ребёнку,nearest,6,6,0,0,0,6,1,0,0,0,0,train
"сократи дистанцию до останца, который рядом с рытвиной",relation1,7,6,0,0,0,11,0,1,5,0,0,train
"сократи расстояние между собой и упавшим человеком, который располагается за разломом спереди от булыги",relation2,8,6,0,0,0,9,0,2,8,3,10,train
отыщи постройку,object,5,6,0,0,0,1,0,0,0,0,0,test
сократи расстояние между собой и разрывом слева от строения,relation1,7,6,0,0,0,8,0,4,1,0,0,test
сократи дистанцию до близкого товарища,nearest,6,6,0,0,0,6,1,0,0,0,0,train
"сократи расстояние между собой и останцем, который справа от леса",relation1,7,6,0,0,0,11,0,5,4,0,0,train
повернись по левую руку на 1:30,hour,4,5,4,0,3,0,0,0,0,0,0,train
начинай поворачивать в южную сторону на 222 градуса,degree,3,5,6,0,15,0,0,0,0,0,0,train
"сократи дистанцию до строения, которое позади горы рядом с упавшим человеком",relation2,8,6,0,0,0,1,0,2,7,1,9,train
сократи дистанцию до близкой женщины,nearest,6,6,0,0,0,6,1,0,0,0,0,train
повернись на восточный край 8:00,hour,4,5,7,0,16,0,0,0,0,0,0,train
"езжай к холму, который находится сзади от леса",relation1,7,6,0,0,0,7,0,2,4,0,0,train
начинай движение в западную сторону 12м,meter,2,4,8,3,0,0,0,0,0,0,0,train
"найди здание перед барьером, который располагается левее пропасти",relation2,8,6,0,0,0,1,0,3,12,4,5,train
топай к возвышенности,object,5,6,0,0,0,7,0,0,0,0,0,train
направляйся в сторону запада на 34м,meter,2,4,8,5,0,0,0,0,0,0,0,test
притормози,simple,0,1,0,0,0,0,0,0,0,0,0,train
"сократи дистанцию до столба, который слева от ограждения, находящегося справа от булыги",relation2,8,6,0,0,0,13,0,4,12,5,10,train
"сократи расстояние между собой и препятствием, которое находится левее пропасти",relation1,7,6,0,0,0,12,0,4,5,0,0,train
"сократи дистанцию до разрыва, располагающегося левее упавшего дерева",relation1,7,6,0,0,0,8,0,4,3,0,0,test
поезжай  на 25М,meter,2,4,1,4,0,0,0,0,0,0,0,train
"сократи дистанцию до булыги, которая неподалеку от светильника около лесополосы",relation2,8,6,0,0,0,10,0,1,13,1,4,test
следуй к дому,object,5,6,0,0,0,1,0,0,0,0,0,train
беги на южный край на 78m,meter,2,4,6,7,0,0,0,0,0,0,0,train
"найди барьер спереди от трещины, которая располагается перед дубом",relation2,8,6,0,0,0,12,0,3,8,3,2,train
отыщи валун правее особняка,relation1,7,6,0,0,0,11,0,5,1,0,0,train
"сократи расстояние между собой и пьяным человеком, который располагается перед канавой, которая правее столба",relation2,8,6,0,0,0,9,0,3,5,5,13,train
соверши поворот на юг на один час,hour,4,5,6,0,2,0,0,0,0,0,0,train
"сократи расстояние между собой и оврагом, находящимся перед лесополосой, располагающейся справа от свалившегося человека",relation2,8,6,0,0,0,5,0,3,4,5,9,train
следуй к близлежащей сосне,nearest,6,6,0,0,0,2,1,0,0,0,0,test
"отыщи рытвину, располагающуюся перед фонарём, который находится справа от леса",relation2,8,6,0,0,0,5,0,3,13,5,4,train
напрямик 32M,meter,2,4,1,5,0,0,0,0,0,0,0,train
повернись  309 градусов,degree,3,5,3,0,21,0,0,0,0,0,0,test
сделай поворот на южный край на 155°,degree,3,5,6,0,11,0,0,0,0,0,0,train
"сократи дистанцию до поваленного дерева, которое справа от лежащего человека",relation1,7,6,0,0,0,3,0,5,9,0,0,train
"поезжай к человеку, располагающемуся неподалеку от рощи, располагающейся перед расщелиной",relation2,8,6,0,0,0,6,0,1,4,3,8,train
сдай налево на 8M,meter,2,4,4,2,0,0,0,0,0,0,0,train
"топай к избе, которая справа от останца",relation1,7,6,0,0,0,1,0,5,11,0,0,test
поворачивай на север на 203 °,degree,3,5,5,0,14,0,0,0,0,0,0,train
соверши поворот в сторону востока 3 часа 0 минут,hour,4,5,7,0,6,0,0,0,0,0,0,train
поворачивай по правую руку на час 0 минут,hour,4,5,3,0,2,0,0,0,0,0,0,test
соверши поворот на северный край на 194 градуса,degree,3,5,5,0,13,0,0,0,0,0,0,train
направляйся к ольхе,object,5,6,0,0,0,2,0,0,0,0,0,test
 на 81М,meter,2,4,1,7,0,0,0,0,0,0,0,train
"тебе нужно подъехать к чаще, которая находится около дуба спереди от препятствия",relation2,8,6,0,0,0,4,0,1,2,3,12,train
сдай вперед на 88м,meter,2,4,1,7,0,0,0,0,0,0,0,test
"найди провал, который спереди от упавшего человека, который за светильником",relation2,8,6,0,0,0,5,0,3,9,2,13,test
шагай к ближайшей сосне,nearest,6,6,0,0,0,2,1,0,0,0,0,train
заворачивай влево 222 градуса,degree,3,5,4,0,15,0,0,0,0,0,0,train
"сократи расстояние между собой и особняком, который правее разлома",relation1,7,6,0,0,0,1,0,5,8,0,0,test
на южный край на 112 градусов,degree,3,5,6,0,8,0,0,0,0,0,0,train
по правую руку 86 метров,meter,2,4,3,7,0,0,0,0,0,0,0,train
по правую руку на девять с половиной часов,hour,4,5,3,0,19,0,0,0,0,0,0,train
следуй на восток 110m,meter,2,4,7,8,0,0,0,0,0,0,0,train
начинай поворачивать в правую сторону девять с половиной часов,hour,4,5,3,0,19,0,0,0,0,0,0,test
сократи дистанцию до валуна рядом с автомобилем,relation1,7,6,0,0,0,11,0,1,14,0,0,test
соверши поворот в южную сторону на 312 градусов,degree,3,5,6,0,21,0,0,0,0,0,0,train
"найди тачку, которая находится справа от лесополосы, которая находится правее трещины",relation2,8,6,0,0,0,14,0,5,4,5,8,train
двигайся к близкому фонарю,nearest,6,6,0,0,0,13,1,0,0,0,0,train
найди яму правее разлома,relation1,7,6,0,0,0,5,0,5,8,0,0,train
"сократи расстояние между собой и домом, располагающимся рядом с фонарём",relation1,7,6,0,0,0,1,0,1,13,0,0,train
найди срубленное дерево неподалеку от постройки,relation1,7,6,0,0,0,3,0,1,1,0,0,test
"отыщи препятствие, которое находится левее горы, которая располагается справа от растения",relation2,8,6,0,0,0,12,0,4,7,5,2,train
