x,y_name,y,action,direction,meters,degshours,object1,nearest,relation1,object2,relation2,object3,self,gaze,type,subset,fold
иди в дозор по круговой траектории радиусом 24m,circle,9,0,0,8,0,0,0,0,0,0,0,0,0,generator,train,-1
следи за обстановкой вокруг по касательной к кругу радиусом 7 м,circle,9,0,0,4,0,0,0,0,0,0,0,0,0,generator,train,-1
неси патрульную службу по окружности радиусом 78 метров,circle,9,0,0,11,0,0,0,0,0,0,0,0,0,generator,train,-1
начинай патрулирование по круговой траектории размером 7m,circle,9,0,0,4,0,0,0,0,0,0,0,0,0,generator,train,-1
иди в дозор по окружности радиуса 8м,circle,9,0,0,4,0,0,0,0,0,0,0,0,0,generator,train,-1
разведуй местность по кругу 28 м,circle,9,0,0,9,0,0,0,0,0,0,0,0,0,generator,train,-1
разведка по кругу радиуса 74m,circle,9,0,0,11,0,0,0,0,0,0,0,0,0,generator,train,-1
иди в патруль по касательной к кругу радиуса 4м,circle,9,0,0,2,0,0,0,0,0,0,0,0,0,generator,train,-1
обойди окрестности по кольцу радиусом 20м,circle,9,0,0,7,0,0,0,0,0,0,0,0,0,generator,train,-1
неси патрульную службу по кругу радиуса 65м,circle,9,0,0,11,0,0,0,0,0,0,0,0,0,generator,train,-1
разведка по круговой траектории радиуса 70 м,circle,9,0,0,11,0,0,0,0,0,0,0,0,0,generator,train,-1
начинай патрулирование по орбите размером 8m,circle,9,0,0,4,0,0,0,0,0,0,0,0,0,generator,train,-1
иди в патруль по круговой траектории радиуса 31м,circle,9,0,0,9,0,0,0,0,0,0,0,0,0,generator,train,-1
разведывай по кругу размером 2 метра,circle,9,0,0,1,0,0,0,0,0,0,0,0,0,generator,train,-1
разведывай по окружности размером 5m,circle,9,0,0,3,0,0,0,0,0,0,0,0,0,generator,train,-1
начинай патрулирование по касательной к кругу размером 6m,circle,9,0,0,3,0,0,0,0,0,0,0,0,0,generator,train,-1
начинай патрулирование по окружности радиусом 97м,circle,9,0,0,12,0,0,0,0,0,0,0,0,0,generator,train,-1
разведывай по касательной 7м,circle,9,0,0,4,0,0,0,0,0,0,0,0,0,generator,valid,-1
наблюдай за местностью по круговой траектории радиуса 24м,circle,9,0,0,8,0,0,0,0,0,0,0,0,0,generator,train,-1
разведывай по касательной к кругу 108м,circle,9,0,0,12,0,0,0,0,0,0,0,0,0,generator,train,-1
охраняй по кругу размером 3м,circle,9,0,0,2,0,0,0,0,0,0,0,0,0,generator,train,-1
охраняй по орбите радиусом 4 метра,circle,9,0,0,2,0,0,0,0,0,0,0,0,0,generator,train,-1
осуществляй обход местности по кругу размером 21m,circle,9,0,0,7,0,0,0,0,0,0,0,0,0,generator,train,-1
осуществляй обход местности по кольцу размером 21м,circle,9,0,0,7,0,0,0,0,0,0,0,0,0,generator,train,-1
начинай патрулирование по касательной радиуса 71m,circle,9,0,0,11,0,0,0,0,0,0,0,0,0,generator,train,-1
патрулируй по касательной радиусом 18м,circle,9,0,0,7,0,0,0,0,0,0,0,0,0,generator,train,-1
осуществляй обход местности по касательной к кругу 6м,circle,9,0,0,3,0,0,0,0,0,0,0,0,0,generator,valid,-1
следи за обстановкой вокруг по касательной радиуса 8 м,circle,9,0,0,4,0,0,0,0,0,0,0,0,0,generator,train,-1
патрулируй по орбите радиусом 17 метров,circle,9,0,0,6,0,0,0,0,0,0,0,0,0,generator,train,-1
наблюдай за местностью по орбите радиусом 1м,circle,9,0,0,1,0,0,0,0,0,0,0,0,0,generator,train,-1
иди в патруль по окружности радиусом 2 метра,circle,9,0,0,1,0,0,0,0,0,0,0,0,0,generator,train,-1
обойди окрестности по круговой траектории радиуса 25 м,circle,9,0,0,8,0,0,0,0,0,0,0,0,0,generator,valid,-1
неси дозор по кругу размером 30 метров,circle,9,0,0,9,0,0,0,0,0,0,0,0,0,generator,train,-1
обойди окрестности по кольцу 3m,circle,9,0,0,2,0,0,0,0,0,0,0,0,0,generator,train,-1
иди в патруль по кругу радиуса 36m,circle,9,0,0,9,0,0,0,0,0,0,0,0,0,generator,train,-1
неси дозор по окружности радиусом 1 метр,circle,9,0,0,1,0,0,0,0,0,0,0,0,0,generator,train,-1
патрулируй по кольцу радиуса 23m,circle,9,0,0,8,0,0,0,0,0,0,0,0,0,generator,train,-1
патрулируй по окружности радиуса 6 метров,circle,9,0,0,3,0,0,0,0,0,0,0,0,0,generator,train,-1
разведуй местность по окружности радиуса 8м,circle,9,0,0,4,0,0,0,0,0,0,0,0,0,generator,train,-1
иди в дозор по кругу 2m,circle,9,0,0,1,0,0,0,0,0,0,0,0,0,generator,train,-1
осуществляй обход местности по круговой траектории 22 метра,circle,9,0,0,7,0,0,0,0,0,0,0,0,0,generator,train,-1
разведка по касательной размером 8m,circle,9,0,0,4,0,0,0,0,0,0,0,0,0,generator,train,-1
охраняй по кругу радиусом 23m,circle,9,0,0,8,0,0,0,0,0,0,0,0,0,generator,train,-1
иди в дозор по окружности размером 8м,circle,9,0,0,4,0,0,0,0,0,0,0,0,0,generator,train,-1
разведка по касательной к кругу размером 1m,circle,9,0,0,1,0,0,0,0,0,0,0,0,0,generator,valid,-1
разведуй местность по кругу 1m,circle,9,0,0,1,0,0,0,0,0,0,0,0,0,generator,train,-1
осуществляй обход местности по окружности радиуса 24 м,circle,9,0,0,8,0,0,0,0,0,0,0,0,0,generator,valid,-1
разведка по касательной радиуса 107m,circle,9,0,0,12,0,0,0,0,0,0,0,0,0,generator,train,-1
неси патрульную службу по касательной 3м,circle,9,0,0,2,0,0,0,0,0,0,0,0,0,generator,train,-1
иди в дозор по орбите 21м,circle,9,0,0,7,0,0,0,0,0,0,0,0,0,generator,train,-1
разведывай местность по орбите 3m,circle,9,0,0,2,0,0,0,0,0,0,0,0,0,generator,train,-1
неси патрульную службу по касательной к кругу радиуса 7m,circle,9,0,0,4,0,0,0,0,0,0,0,0,0,generator,train,-1
неси дозор по касательной размером 80m,circle,9,0,0,11,0,0,0,0,0,0,0,0,0,generator,train,-1
охраняй по касательной к кругу радиуса 13m,circle,9,0,0,5,0,0,0,0,0,0,0,0,0,generator,train,-1
разведуй местность по окружности размером 76м,circle,9,0,0,11,0,0,0,0,0,0,0,0,0,generator,train,-1
начинай патрулирование по окружности радиусом 5m,circle,9,0,0,3,0,0,0,0,0,0,0,0,0,generator,train,-1
неси патрульную службу по касательной к кругу радиуса 21м,circle,9,0,0,7,0,0,0,0,0,0,0,0,0,generator,train,-1
иди в патруль по окружности 99m,circle,9,0,0,12,0,0,0,0,0,0,0,0,0,generator,train,-1
иди в дозор по кольцу 1m,circle,9,0,0,1,0,0,0,0,0,0,0,0,0,generator,train,-1
иди в патруль по окружности радиуса 23m,circle,9,0,0,8,0,0,0,0,0,0,0,0,0,generator,train,-1
следи за обстановкой вокруг по круговой траектории размером 1м,circle,9,0,0,1,0,0,0,0,0,0,0,0,0,generator,train,-1
неси патрульную службу по касательной к кругу радиуса 83 метра,circle,9,0,0,11,0,0,0,0,0,0,0,0,0,generator,train,-1
неси патрульную службу по кругу радиусом 16 м,circle,9,0,0,6,0,0,0,0,0,0,0,0,0,generator,train,-1
осуществляй обход местности по кругу 2 м,circle,9,0,0,1,0,0,0,0,0,0,0,0,0,generator,train,-1
наблюдай за местностью по касательной радиусом 15 м,circle,9,0,0,6,0,0,0,0,0,0,0,0,0,generator,train,-1
обойди окрестности по кольцу 17м,circle,9,0,0,6,0,0,0,0,0,0,0,0,0,generator,train,-1
осуществляй обход местности по касательной радиуса 55м,circle,9,0,0,10,0,0,0,0,0,0,0,0,0,generator,train,-1
разведуй местность по орбите радиусом 14m,circle,9,0,0,6,0,0,0,0,0,0,0,0,0,generator,valid,-1
неси дозор по орбите 109m,circle,9,0,0,12,0,0,0,0,0,0,0,0,0,generator,train,-1
обойди окрестности по орбите 2 м,circle,9,0,0,1,0,0,0,0,0,0,0,0,0,generator,train,-1
осуществляй обход местности по круговой траектории радиусом 23m,circle,9,0,0,8,0,0,0,0,0,0,0,0,0,generator,train,-1
наблюдай за местностью по касательной радиуса 4m,circle,9,0,0,2,0,0,0,0,0,0,0,0,0,generator,valid,-1
неси дозор по кольцу радиусом 2 м,circle,9,0,0,1,0,0,0,0,0,0,0,0,0,generator,train,-1
охраняй по круговой траектории размером 35м,circle,9,0,0,9,0,0,0,0,0,0,0,0,0,generator,train,-1
неси дозор по кругу 27m,circle,9,0,0,8,0,0,0,0,0,0,0,0,0,generator,train,-1
патрулируй по круговой траектории 1м,circle,9,0,0,1,0,0,0,0,0,0,0,0,0,generator,train,-1
охраняй по круговой траектории радиусом 23 метра,circle,9,0,0,8,0,0,0,0,0,0,0,0,0,generator,valid,-1
охраняй по орбите радиуса 1m,circle,9,0,0,1,0,0,0,0,0,0,0,0,0,generator,train,-1
обойди окрестности по кругу радиуса 47 метров,circle,9,0,0,10,0,0,0,0,0,0,0,0,0,generator,train,-1
иди в дозор по кругу радиусом 1 м,circle,9,0,0,1,0,0,0,0,0,0,0,0,0,generator,train,-1
разведывай местность по орбите размером 4m,circle,9,0,0,2,0,0,0,0,0,0,0,0,0,generator,valid,-1
иди в патруль по круговой траектории размером 4 м,circle,9,0,0,2,0,0,0,0,0,0,0,0,0,generator,train,-1
наблюдай за местностью по орбите радиусом 9м,circle,9,0,0,5,0,0,0,0,0,0,0,0,0,generator,train,-1
обойди окрестности по кругу 26м,circle,9,0,0,8,0,0,0,0,0,0,0,0,0,generator,valid,-1
осуществляй обход местности по касательной к кругу радиусом 66 метров,circle,9,0,0,11,0,0,0,0,0,0,0,0,0,generator,train,-1
осуществляй обход местности по касательной радиуса 24м,circle,9,0,0,8,0,0,0,0,0,0,0,0,0,generator,train,-1
начинай патрулирование по касательной к кругу 44 метра,circle,9,0,0,10,0,0,0,0,0,0,0,0,0,generator,train,-1
разведывай местность по круговой траектории радиуса 80м,circle,9,0,0,11,0,0,0,0,0,0,0,0,0,generator,train,-1
наблюдай за местностью по окружности 1 метр,circle,9,0,0,1,0,0,0,0,0,0,0,0,0,generator,train,-1
иди в патруль по касательной к кругу радиуса 84m,circle,9,0,0,11,0,0,0,0,0,0,0,0,0,generator,train,-1
наблюдай за местностью по окружности радиуса 18m,circle,9,0,0,7,0,0,0,0,0,0,0,0,0,generator,train,-1
начинай патрулирование по кругу размером 3m,circle,9,0,0,2,0,0,0,0,0,0,0,0,0,generator,train,-1
разведка по касательной радиуса 81m,circle,9,0,0,11,0,0,0,0,0,0,0,0,0,generator,valid,-1
патрулируй по круговой траектории радиусом 7 м,circle,9,0,0,4,0,0,0,0,0,0,0,0,0,generator,train,-1
охраняй по кругу 17 метров,circle,9,0,0,6,0,0,0,0,0,0,0,0,0,generator,train,-1
неси дозор по касательной радиусом 74 метра,circle,9,0,0,11,0,0,0,0,0,0,0,0,0,generator,train,-1
наблюдай за местностью по круговой траектории размером 6m,circle,9,0,0,3,0,0,0,0,0,0,0,0,0,generator,train,-1
иди в дозор по орбите размером 52м,circle,9,0,0,10,0,0,0,0,0,0,0,0,0,generator,train,-1
осуществляй обход местности по касательной к кругу радиусом 5 метров,circle,9,0,0,3,0,0,0,0,0,0,0,0,0,generator,train,-1
неси патрульную службу по круговой траектории размером 83м,circle,9,0,0,11,0,0,0,0,0,0,0,0,0,generator,train,-1
наблюдай за местностью по окружности размером 95м,circle,9,0,0,12,0,0,0,0,0,0,0,0,0,generator,valid,-1
неси дозор по орбите 93м,circle,9,0,0,12,0,0,0,0,0,0,0,0,0,generator,train,-1
начинай патрулирование по касательной 33м,circle,9,0,0,9,0,0,0,0,0,0,0,0,0,generator,train,-1
осуществляй обход местности по кругу радиусом 2м,circle,9,0,0,1,0,0,0,0,0,0,0,0,0,generator,train,-1
наблюдай за местностью по круговой траектории радиуса 59м,circle,9,0,0,10,0,0,0,0,0,0,0,0,0,generator,train,-1
начинай патрулирование по орбите размером 110m,circle,9,0,0,12,0,0,0,0,0,0,0,0,0,generator,valid,-1
охраняй по кольцу 3 м,circle,9,0,0,2,0,0,0,0,0,0,0,0,0,generator,valid,-1
иди в патруль по кольцу 1m,circle,9,0,0,1,0,0,0,0,0,0,0,0,0,generator,train,-1
осуществляй обход местности по кругу радиуса 12м,circle,9,0,0,5,0,0,0,0,0,0,0,0,0,generator,train,-1
обойди окрестности по касательной к кругу радиуса 13 м,circle,9,0,0,5,0,0,0,0,0,0,0,0,0,generator,train,-1
иди в патруль по касательной радиусом 64 метра,circle,9,0,0,10,0,0,0,0,0,0,0,0,0,generator,train,-1
осуществляй обход местности по орбите 13м,circle,9,0,0,5,0,0,0,0,0,0,0,0,0,generator,train,-1
неси патрульную службу по кругу радиуса 13m,circle,9,0,0,5,0,0,0,0,0,0,0,0,0,generator,valid,-1
разведывай по касательной к кругу радиуса 9m,circle,9,0,0,5,0,0,0,0,0,0,0,0,0,generator,train,-1
разведка по кругу радиусом 6м,circle,9,0,0,3,0,0,0,0,0,0,0,0,0,generator,train,-1
следи за обстановкой вокруг по окружности размером 80m,circle,9,0,0,11,0,0,0,0,0,0,0,0,0,generator,valid,-1
начинай патрулирование по кругу 67m,circle,9,0,0,11,0,0,0,0,0,0,0,0,0,generator,train,-1
начинай патрулирование по круговой траектории 4m,circle,9,0,0,2,0,0,0,0,0,0,0,0,0,generator,train,-1
охраняй по орбите 8m,circle,9,0,0,4,0,0,0,0,0,0,0,0,0,generator,train,-1
иди в патруль по касательной радиусом 3м,circle,9,0,0,2,0,0,0,0,0,0,0,0,0,generator,train,-1
иди в дозор по касательной 21m,circle,9,0,0,7,0,0,0,0,0,0,0,0,0,generator,train,-1
осуществляй обход местности по орбите радиуса 7м,circle,9,0,0,4,0,0,0,0,0,0,0,0,0,generator,train,-1
неси патрульную службу по кругу 16м,circle,9,0,0,6,0,0,0,0,0,0,0,0,0,generator,train,-1
разведуй местность по окружности радиуса 39m,circle,9,0,0,9,0,0,0,0,0,0,0,0,0,generator,train,-1
иди в дозор по кругу размером 4м,circle,9,0,0,2,0,0,0,0,0,0,0,0,0,generator,train,-1
обойди окрестности по орбите размером 37м,circle,9,0,0,9,0,0,0,0,0,0,0,0,0,generator,train,-1
осуществляй обход местности по круговой траектории радиуса 14 метров,circle,9,0,0,6,0,0,0,0,0,0,0,0,0,generator,train,-1
обойди окрестности по касательной размером 1m,circle,9,0,0,1,0,0,0,0,0,0,0,0,0,generator,train,-1
неси патрульную службу по круговой траектории радиуса 27м,circle,9,0,0,8,0,0,0,0,0,0,0,0,0,generator,valid,-1
осуществляй обход местности по круговой траектории радиусом 9m,circle,9,0,0,5,0,0,0,0,0,0,0,0,0,generator,train,-1
разведка по касательной к кругу 88м,circle,9,0,0,12,0,0,0,0,0,0,0,0,0,generator,train,-1
разведка по кругу радиуса 82м,circle,9,0,0,11,0,0,0,0,0,0,0,0,0,generator,train,-1
следи за обстановкой вокруг по касательной размером 5 м,circle,9,0,0,3,0,0,0,0,0,0,0,0,0,generator,train,-1
начинай патрулирование по круговой траектории 1 метр,circle,9,0,0,1,0,0,0,0,0,0,0,0,0,generator,valid,-1
наблюдай за местностью по орбите радиусом 6m,circle,9,0,0,3,0,0,0,0,0,0,0,0,0,generator,train,-1
следи за обстановкой вокруг по окружности размером 21 метр,circle,9,0,0,7,0,0,0,0,0,0,0,0,0,generator,train,-1
иди в дозор по кольцу радиуса 72 метра,circle,9,0,0,11,0,0,0,0,0,0,0,0,0,generator,train,-1
обойди окрестности по орбите радиусом 99m,circle,9,0,0,12,0,0,0,0,0,0,0,0,0,generator,train,-1
иди в дозор по касательной размером 7 метров,circle,9,0,0,4,0,0,0,0,0,0,0,0,0,generator,valid,-1
неси патрульную службу по окружности 85 м,circle,9,0,0,12,0,0,0,0,0,0,0,0,0,generator,train,-1
разведывай местность по касательной к кругу радиусом 19 м,circle,9,0,0,7,0,0,0,0,0,0,0,0,0,generator,valid,-1
начинай патрулирование по круговой траектории 3м,circle,9,0,0,2,0,0,0,0,0,0,0,0,0,generator,train,-1
неси дозор по окружности 43m,circle,9,0,0,10,0,0,0,0,0,0,0,0,0,generator,train,-1
охраняй по касательной к кругу 1 м,circle,9,0,0,1,0,0,0,0,0,0,0,0,0,generator,train,-1
разведуй местность по кольцу 36м,circle,9,0,0,9,0,0,0,0,0,0,0,0,0,generator,valid,-1
наблюдай за местностью по кольцу 45м,circle,9,0,0,10,0,0,0,0,0,0,0,0,0,generator,train,-1
патрулируй по касательной радиуса 16m,circle,9,0,0,6,0,0,0,0,0,0,0,0,0,generator,train,-1
иди в дозор по касательной к кругу 4m,circle,9,0,0,2,0,0,0,0,0,0,0,0,0,generator,train,-1
иди в дозор по круговой траектории 28м,circle,9,0,0,9,0,0,0,0,0,0,0,0,0,generator,train,-1
патрулируй по кольцу радиусом 11 метров,circle,9,0,0,5,0,0,0,0,0,0,0,0,0,generator,train,-1
неси патрульную службу по кругу радиусом 18 м,circle,9,0,0,7,0,0,0,0,0,0,0,0,0,generator,train,-1
разведывай по окружности размером 40 метров,circle,9,0,0,9,0,0,0,0,0,0,0,0,0,generator,train,-1
разведывай местность по орбите размером 8m,circle,9,0,0,4,0,0,0,0,0,0,0,0,0,generator,train,-1
охраняй по орбите 89 м,circle,9,0,0,12,0,0,0,0,0,0,0,0,0,generator,train,-1
разведывай по круговой траектории радиуса 1 метр,circle,9,0,0,1,0,0,0,0,0,0,0,0,0,generator,valid,-1
иди в патруль по окружности 8 метров,circle,9,0,0,4,0,0,0,0,0,0,0,0,0,generator,train,-1
наблюдай за местностью по орбите радиуса 4m,circle,9,0,0,2,0,0,0,0,0,0,0,0,0,generator,train,-1
разведка по орбите размером 6 метров,circle,9,0,0,3,0,0,0,0,0,0,0,0,0,generator,train,-1
патрулируй по круговой траектории радиусом 8 метров,circle,9,0,0,4,0,0,0,0,0,0,0,0,0,generator,train,-1
осуществляй обход местности по кольцу 1м,circle,9,0,0,1,0,0,0,0,0,0,0,0,0,generator,train,-1
иди в патруль по орбите радиусом 4м,circle,9,0,0,2,0,0,0,0,0,0,0,0,0,generator,train,-1
патрулируй по орбите радиусом 2m,circle,9,0,0,1,0,0,0,0,0,0,0,0,0,generator,train,-1
разведывай местность по кольцу радиусом 14м,circle,9,0,0,6,0,0,0,0,0,0,0,0,0,generator,train,-1
наблюдай за местностью по кольцу 76м,circle,9,0,0,11,0,0,0,0,0,0,0,0,0,generator,train,-1
неси патрульную службу по касательной к кругу 8 метров,circle,9,0,0,4,0,0,0,0,0,0,0,0,0,generator,train,-1
неси дозор по орбите размером 78m,circle,9,0,0,11,0,0,0,0,0,0,0,0,0,generator,train,-1
наблюдай за местностью по окружности радиусом 4м,circle,9,0,0,2,0,0,0,0,0,0,0,0,0,generator,train,-1
иди в патруль по орбите радиусом 77 м,circle,9,0,0,11,0,0,0,0,0,0,0,0,0,generator,train,-1
неси дозор по окружности радиусом 10м,circle,9,0,0,5,0,0,0,0,0,0,0,0,0,generator,train,-1
иди в патруль по кругу размером 73 метра,circle,9,0,0,11,0,0,0,0,0,0,0,0,0,generator,train,-1
разведывай местность по орбите 2m,circle,9,0,0,1,0,0,0,0,0,0,0,0,0,generator,train,-1
осуществляй обход местности по орбите размером 24 метра,circle,9,0,0,8,0,0,0,0,0,0,0,0,0,generator,valid,-1
начинай патрулирование по кругу размером 72m,circle,9,0,0,11,0,0,0,0,0,0,0,0,0,generator,train,-1
неси патрульную службу по круговой траектории 5м,circle,9,0,0,3,0,0,0,0,0,0,0,0,0,generator,train,-1
осуществляй обход местности по касательной размером 7 м,circle,9,0,0,4,0,0,0,0,0,0,0,0,0,generator,train,-1
обойди окрестности по касательной к кругу радиуса 9м,circle,9,0,0,5,0,0,0,0,0,0,0,0,0,generator,valid,-1
разведуй местность по касательной размером 60m,circle,9,0,0,10,0,0,0,0,0,0,0,0,0,generator,train,-1
иди в дозор по касательной радиуса 80 м,circle,9,0,0,11,0,0,0,0,0,0,0,0,0,generator,train,-1
иди в дозор по круговой траектории радиуса 15м,circle,9,0,0,6,0,0,0,0,0,0,0,0,0,generator,valid,-1
обойди окрестности по кругу размером 3м,circle,9,0,0,2,0,0,0,0,0,0,0,0,0,generator,train,-1
обойди окрестности по орбите размером 4 м,circle,9,0,0,2,0,0,0,0,0,0,0,0,0,generator,train,-1
разведка по касательной размером 18m,circle,9,0,0,7,0,0,0,0,0,0,0,0,0,generator,train,-1
иди в патруль по круговой траектории 8m,circle,9,0,0,4,0,0,0,0,0,0,0,0,0,generator,train,-1
следи за обстановкой вокруг по орбите 4 метра,circle,9,0,0,2,0,0,0,0,0,0,0,0,0,generator,train,-1
осуществляй обход местности по окружности радиуса 91м,circle,9,0,0,12,0,0,0,0,0,0,0,0,0,generator,train,-1
наблюдай за местностью по касательной 59m,circle,9,0,0,10,0,0,0,0,0,0,0,0,0,generator,train,-1
разведка по кольцу 20m,circle,9,0,0,7,0,0,0,0,0,0,0,0,0,generator,valid,-1
