x;y_name;y;action;direction;meters;degshours;object1;nearest;relation1;object2;relation2;object3;self;gaze;delayed;type
сделай поворот влево 6:0;hour;4;5;4;0;12;0;0;0;0;0;0;0;0;0;generator
заворчивай 9:00 в сторону юга;hour;4;5;6;0;18;0;0;0;0;0;0;0;0;0;generator
повернись полчаса влево;hour;4;5;4;0;1;0;0;0;0;0;0;0;0;0;generator
соверши поворот 4 0 0 вправо;hour;4;5;3;0;8;0;0;0;0;0;0;0;0;0;generator
соверши поворот 8 часов на северный край;hour;4;5;5;0;16;0;0;0;0;0;0;0;0;0;generator
сделай поворот 4:30 по левую руку;hour;4;5;4;0;9;0;0;0;0;0;0;0;0;0;generator
заворчивай 7:30 на северный край;hour;4;5;5;0;15;0;0;0;0;0;0;0;0;0;generator
попробуй поворачивать 2:30 по правую руку;hour;4;5;3;0;5;0;0;0;0;0;0;0;0;0;generator
заворчивай вправо 11,5 часов;hour;4;5;3;0;23;0;0;0;0;0;0;0;0;0;generator
поворачивай в южную сторону 4 0 0;hour;4;5;6;0;8;0;0;0;0;0;0;0;0;0;generator
поворачивай на восточный край на 4:0;hour;4;5;7;0;8;0;0;0;0;0;0;0;0;0;generator
пытайся заворчивать вправо на пол 3;hour;4;5;3;0;5;0;0;0;0;0;0;0;0;0;generator
поворачивай в сторону юга на 10,5 часов;hour;4;5;6;0;21;0;0;0;0;0;0;0;0;0;generator
начинай заворчивать 6:30 в правую сторону;hour;4;5;3;0;13;0;0;0;0;0;0;0;0;0;generator
повернись на 10 часов;hour;4;5;3;0;20;0;0;0;0;0;0;0;0;0;generator
начни заворчивать 5 0 0 по левую руку;hour;4;5;4;0;10;0;0;0;0;0;0;0;0;0;generator
соверши поворот 6,5 часов на север;hour;4;5;5;0;13;0;0;0;0;0;0;0;0;0;generator
повернись на 2:0;hour;4;5;3;0;4;0;0;0;0;0;0;0;0;0;generator
поворачивай на 9 30;hour;4;5;3;0;19;0;0;0;0;0;0;0;0;0;generator
соверши поворот на 9:0;hour;4;5;3;0;18;0;0;0;0;0;0;0;0;0;generator
начинай заворчивать в западную сторону 9:0;hour;4;5;8;0;18;0;0;0;0;0;0;0;0;0;generator
заворчивай в восточную сторону на 5 0 0;hour;4;5;7;0;10;0;0;0;0;0;0;0;0;0;generator
соверши поворот на 2:30;hour;4;5;3;0;5;0;0;0;0;0;0;0;0;0;generator
соверши поворот 11:00 на восток;hour;4;5;7;0;22;0;0;0;0;0;0;0;0;0;generator
повернись 8:30;hour;4;5;3;0;17;0;0;0;0;0;0;0;0;0;generator
сделай поворот на 11 часов;hour;4;5;3;0;22;0;0;0;0;0;0;0;0;0;generator
повернись 3 0 0 налево;hour;4;5;4;0;6;0;0;0;0;0;0;0;0;0;generator
повернись 7 часов;hour;4;5;3;0;14;0;0;0;0;0;0;0;0;0;generator
повернись на 9:30;hour;4;5;3;0;19;0;0;0;0;0;0;0;0;0;generator
повернись на 5:0 в сторону запада;hour;4;5;8;0;10;0;0;0;0;0;0;0;0;0;generator
заворчивай на 2:30 на южный край;hour;4;5;6;0;5;0;0;0;0;0;0;0;0;0;generator
сделай поворот на 6,5 часов;hour;4;5;3;0;13;0;0;0;0;0;0;0;0;0;generator
начинай заворчивать 2:0 в восточную сторону;hour;4;5;7;0;4;0;0;0;0;0;0;0;0;0;generator
поворачивай в левую сторону 4:00;hour;4;5;4;0;8;0;0;0;0;0;0;0;0;0;generator
сделай поворот на 11:00 по правую руку;hour;4;5;3;0;22;0;0;0;0;0;0;0;0;0;generator
повернись 6 30 на юг;hour;4;5;6;0;13;0;0;0;0;0;0;0;0;0;generator
начни поворачивать пол 4 в западную сторону;hour;4;5;8;0;7;0;0;0;0;0;0;0;0;0;generator
сделай поворот на южный край 10:00;hour;4;5;6;0;20;0;0;0;0;0;0;0;0;0;generator
поворачивай на 10 часов;hour;4;5;3;0;20;0;0;0;0;0;0;0;0;0;generator
соверши поворот 5 часов на север;hour;4;5;5;0;10;0;0;0;0;0;0;0;0;0;generator
соверши поворот 10 0 0;hour;4;5;3;0;20;0;0;0;0;0;0;0;0;0;generator
соверши поворот 3:00;hour;4;5;3;0;6;0;0;0;0;0;0;0;0;0;generator
повернись в западную сторону час;hour;4;5;8;0;2;0;0;0;0;0;0;0;0;0;generator
сделай поворот на полпервого;hour;4;5;3;0;1;0;0;0;0;0;0;0;0;0;generator
поворачивай 6 30;hour;4;5;3;0;13;0;0;0;0;0;0;0;0;0;generator
начинай поворачивать в сторону запада пол 11;hour;4;5;8;0;21;0;0;0;0;0;0;0;0;0;generator
соверши поворот на восточный край на 11:30;hour;4;5;7;0;23;0;0;0;0;0;0;0;0;0;generator
сделай поворот 6 0 0 на южный край;hour;4;5;6;0;12;0;0;0;0;0;0;0;0;0;generator
пытайся поворачивать на северный край на полтора часа;hour;4;5;5;0;3;0;0;0;0;0;0;0;0;0;generator
заворчивай на 0:30;hour;4;5;3;0;1;0;0;0;0;0;0;0;0;0;generator
соверши поворот 1 0 0;hour;4;5;3;0;2;0;0;0;0;0;0;0;0;0;generator
соверши поворот 2 часа в сторону востока;hour;4;5;7;0;4;0;0;0;0;0;0;0;0;0;generator
попробуй поворачивать в сторону запада 10:00;hour;4;5;8;0;20;0;0;0;0;0;0;0;0;0;generator
сделай поворот пол 6 на западный край;hour;4;5;8;0;11;0;0;0;0;0;0;0;0;0;generator
повернись на 12:0;hour;4;5;3;0;24;0;0;0;0;0;0;0;0;0;generator
поворачивай на северный край пол 9;hour;4;5;5;0;17;0;0;0;0;0;0;0;0;0;generator
начинай поворачивать на 4:0 в сторону юга;hour;4;5;6;0;8;0;0;0;0;0;0;0;0;0;generator
заворчивай на 3 30;hour;4;5;3;0;7;0;0;0;0;0;0;0;0;0;generator
повернись 1 час в сторону юга;hour;4;5;6;0;2;0;0;0;0;0;0;0;0;0;generator
соверши поворот на юг 11 0 0;hour;4;5;6;0;22;0;0;0;0;0;0;0;0;0;generator
начинай заворчивать влево 12 0 0;hour;4;5;4;0;24;0;0;0;0;0;0;0;0;0;generator
пытайся поворачивать в восточную сторону 2 30;hour;4;5;7;0;5;0;0;0;0;0;0;0;0;0;generator
поворачивай 2:00 в западную сторону;hour;4;5;8;0;4;0;0;0;0;0;0;0;0;0;generator
повернись в северную сторону 8:30;hour;4;5;5;0;17;0;0;0;0;0;0;0;0;0;generator
повернись 3:0 влево;hour;4;5;4;0;6;0;0;0;0;0;0;0;0;0;generator
поворачивай на западный край на 2:30;hour;4;5;8;0;5;0;0;0;0;0;0;0;0;0;generator
повернись 12 часов в левую сторону;hour;4;5;4;0;24;0;0;0;0;0;0;0;0;0;generator
соверши поворот 4:30;hour;4;5;3;0;9;0;0;0;0;0;0;0;0;0;generator
начни поворачивать 7 0 0 налево;hour;4;5;4;0;14;0;0;0;0;0;0;0;0;0;generator
соверши поворот на полпервого в сторону востока;hour;4;5;7;0;1;0;0;0;0;0;0;0;0;0;generator
сделай поворот по левую руку 9:30;hour;4;5;4;0;19;0;0;0;0;0;0;0;0;0;generator
повернись в сторону запада на 3:0;hour;4;5;8;0;6;0;0;0;0;0;0;0;0;0;generator
пытайся заворчивать на 7 часов влево;hour;4;5;4;0;14;0;0;0;0;0;0;0;0;0;generator
повернись 2:00 на восток;hour;4;5;7;0;4;0;0;0;0;0;0;0;0;0;generator
заворчивай на 1:00 в сторону севера;hour;4;5;5;0;2;0;0;0;0;0;0;0;0;0;generator
соверши поворот по правую руку пол 10;hour;4;5;3;0;19;0;0;0;0;0;0;0;0;0;generator
сделай поворот по правую руку на пол 9;hour;4;5;3;0;17;0;0;0;0;0;0;0;0;0;generator
поворачивай в северную сторону 8,5 часов;hour;4;5;5;0;17;0;0;0;0;0;0;0;0;0;generator
соверши поворот 3 0 0;hour;4;5;3;0;6;0;0;0;0;0;0;0;0;0;generator
начни заворчивать на 9,5 часов на запад;hour;4;5;8;0;19;0;0;0;0;0;0;0;0;0;generator
сделай поворот на 5 0 0 в западную сторону;hour;4;5;8;0;10;0;0;0;0;0;0;0;0;0;generator
соверши поворот налево на 3 30;hour;4;5;4;0;7;0;0;0;0;0;0;0;0;0;generator
повернись в западную сторону на 5 30;hour;4;5;8;0;11;0;0;0;0;0;0;0;0;0;generator
заворчивай по левую руку на пол 9;hour;4;5;4;0;17;0;0;0;0;0;0;0;0;0;generator
соверши поворот 10:00 в сторону севера;hour;4;5;5;0;20;0;0;0;0;0;0;0;0;0;generator
соверши поворот в сторону запада на 5:30;hour;4;5;8;0;11;0;0;0;0;0;0;0;0;0;generator
соверши поворот в сторону запада 8 часов;hour;4;5;8;0;16;0;0;0;0;0;0;0;0;0;generator
поворачивай 10 0 0 на восток;hour;4;5;7;0;20;0;0;0;0;0;0;0;0;0;generator
сделай поворот в сторону запада 10 часов;hour;4;5;8;0;20;0;0;0;0;0;0;0;0;0;generator
поворачивай пол 12 на восток;hour;4;5;7;0;23;0;0;0;0;0;0;0;0;0;generator
начинай заворчивать 2 30 по правую руку;hour;4;5;3;0;5;0;0;0;0;0;0;0;0;0;generator
попробуй поворачивать пол 5;hour;4;5;3;0;9;0;0;0;0;0;0;0;0;0;generator
повернись на 10:0;hour;4;5;3;0;20;0;0;0;0;0;0;0;0;0;generator
повернись в южную сторону на 1:30;hour;4;5;6;0;3;0;0;0;0;0;0;0;0;0;generator
сделай поворот 6:30;hour;4;5;3;0;13;0;0;0;0;0;0;0;0;0;generator
начни заворчивать на 5:0;hour;4;5;3;0;10;0;0;0;0;0;0;0;0;0;generator
сделай поворот на 9,5 часов на северный край;hour;4;5;5;0;19;0;0;0;0;0;0;0;0;0;generator
пытайся поворачивать 10 часов на северный край;hour;4;5;5;0;20;0;0;0;0;0;0;0;0;0;generator
соверши поворот 2:00 направо;hour;4;5;3;0;4;0;0;0;0;0;0;0;0;0;generator
заворчивай 1:30 по левую руку;hour;4;5;4;0;3;0;0;0;0;0;0;0;0;0;generator
заворчивай 10 0 0 на юг;hour;4;5;6;0;20;0;0;0;0;0;0;0;0;0;generator
попробуй поворачивать на запад на 8:0;hour;4;5;8;0;16;0;0;0;0;0;0;0;0;0;generator
повернись 2,5 часа на юг;hour;4;5;6;0;5;0;0;0;0;0;0;0;0;0;generator
пытайся заворчивать на полтора часа на восток;hour;4;5;7;0;3;0;0;0;0;0;0;0;0;0;generator
сделай поворот на 8 часов направо;hour;4;5;3;0;16;0;0;0;0;0;0;0;0;0;generator
начинай поворачивать на 5 0 0 в восточную сторону;hour;4;5;7;0;10;0;0;0;0;0;0;0;0;0;generator
попробуй заворчивать в южную сторону 9,5 часов;hour;4;5;6;0;19;0;0;0;0;0;0;0;0;0;generator
сделай поворот на 3:0;hour;4;5;3;0;6;0;0;0;0;0;0;0;0;0;generator
повернись на западный край пол 3;hour;4;5;8;0;5;0;0;0;0;0;0;0;0;0;generator
повернись в северную сторону пол 11;hour;4;5;5;0;21;0;0;0;0;0;0;0;0;0;generator
сделай поворот на 2:30;hour;4;5;3;0;5;0;0;0;0;0;0;0;0;0;generator
сделай поворот 8:30 вправо;hour;4;5;3;0;17;0;0;0;0;0;0;0;0;0;generator
начинай заворчивать в правую сторону полтора часа;hour;4;5;3;0;3;0;0;0;0;0;0;0;0;0;generator
повернись 10 30;hour;4;5;3;0;21;0;0;0;0;0;0;0;0;0;generator
повернись 12 0 0 на юг;hour;4;5;6;0;24;0;0;0;0;0;0;0;0;0;generator
повернись на пол 3 на восточный край;hour;4;5;7;0;5;0;0;0;0;0;0;0;0;0;generator
соверши поворот на юг 10 0 0;hour;4;5;6;0;20;0;0;0;0;0;0;0;0;0;generator
сделай поворот в южную сторону полпервого;hour;4;5;6;0;1;0;0;0;0;0;0;0;0;0;generator
поворачивай 1:00;hour;4;5;3;0;2;0;0;0;0;0;0;0;0;0;generator
сделай поворот 11 30 на север;hour;4;5;5;0;23;0;0;0;0;0;0;0;0;0;generator
сделай поворот на 0:30 в сторону запада;hour;4;5;8;0;1;0;0;0;0;0;0;0;0;0;generator
повернись на 3 0 0 вправо;hour;4;5;3;0;6;0;0;0;0;0;0;0;0;0;generator
пытайся поворачивать по правую руку на полпервого;hour;4;5;3;0;1;0;0;0;0;0;0;0;0;0;generator
повернись на 11,5 часов на восточный край;hour;4;5;7;0;23;0;0;0;0;0;0;0;0;0;generator
повернись в сторону севера на 9:30;hour;4;5;5;0;19;0;0;0;0;0;0;0;0;0;generator
заворчивай 5:0;hour;4;5;3;0;10;0;0;0;0;0;0;0;0;0;generator
начни поворачивать по правую руку на 5 часов;hour;4;5;3;0;10;0;0;0;0;0;0;0;0;0;generator
заворчивай на 2,5 часа на юг;hour;4;5;6;0;5;0;0;0;0;0;0;0;0;0;generator
сделай поворот влево 11,5 часов;hour;4;5;4;0;23;0;0;0;0;0;0;0;0;0;generator
соверши поворот на полчаса;hour;4;5;3;0;1;0;0;0;0;0;0;0;0;0;generator
поворачивай в левую сторону 11:00;hour;4;5;4;0;22;0;0;0;0;0;0;0;0;0;generator
сделай поворот на 6:00;hour;4;5;3;0;12;0;0;0;0;0;0;0;0;0;generator
повернись в южную сторону 6:00;hour;4;5;6;0;12;0;0;0;0;0;0;0;0;0;generator
соверши поворот на юг 4:30;hour;4;5;6;0;9;0;0;0;0;0;0;0;0;0;generator
заворчивай на 5:0;hour;4;5;3;0;10;0;0;0;0;0;0;0;0;0;generator
сделай поворот на пол 8 на восток;hour;4;5;7;0;15;0;0;0;0;0;0;0;0;0;generator
соверши поворот на 1:30 вправо;hour;4;5;3;0;3;0;0;0;0;0;0;0;0;0;generator
сделай поворот в сторону запада пол 2;hour;4;5;8;0;3;0;0;0;0;0;0;0;0;0;generator
повернись на 12:0 в южную сторону;hour;4;5;6;0;24;0;0;0;0;0;0;0;0;0;generator
соверши поворот на юг на 5 30;hour;4;5;6;0;11;0;0;0;0;0;0;0;0;0;generator
сделай поворот в сторону юга 6 30;hour;4;5;6;0;13;0;0;0;0;0;0;0;0;0;generator
сделай поворот 6 30 на запад;hour;4;5;8;0;13;0;0;0;0;0;0;0;0;0;generator
повернись на 11:30 в сторону севера;hour;4;5;5;0;23;0;0;0;0;0;0;0;0;0;generator
соверши поворот на восточный край 12 0 0;hour;4;5;7;0;24;0;0;0;0;0;0;0;0;0;generator
повернись в сторону запада пол 6;hour;4;5;8;0;11;0;0;0;0;0;0;0;0;0;generator
поворачивай в северную сторону 1,5 час;hour;4;5;5;0;3;0;0;0;0;0;0;0;0;0;generator
пытайся поворачивать 9:00;hour;4;5;3;0;18;0;0;0;0;0;0;0;0;0;generator
поворачивай на 6:00;hour;4;5;3;0;12;0;0;0;0;0;0;0;0;0;generator
соверши поворот на 9,5 часов;hour;4;5;3;0;19;0;0;0;0;0;0;0;0;0;generator
заворчивай на 4,5 часа;hour;4;5;3;0;9;0;0;0;0;0;0;0;0;0;generator
заворчивай направо 8:00;hour;4;5;3;0;16;0;0;0;0;0;0;0;0;0;generator
начинай заворчивать на 9 0 0;hour;4;5;3;0;18;0;0;0;0;0;0;0;0;0;generator
повернись на полтора часа в южную сторону;hour;4;5;6;0;3;0;0;0;0;0;0;0;0;0;generator
